Customers[Customer Key],Customers[Customer Name],Customers[Birth Date],Customers[Marital Status],Customers[Gender],Customers[Yearly Income],Customers[Total Children],Customers[Number of Children at Home],Customers[Education],Customers[Occupation],Customers[House Owner],Customers[Number of Cars Owned],Customers[Customer Type],Customers[Company Name],Customers[Country],Customers[State]
"25","Xie, Russell","17-09-1978 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"37","Russell, Jennifer","18-12-1978 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"42","Carter, Amanda","16-10-1977 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"44","Simmons, Nathan","24-02-1976 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"929","Morris, Isabella","07-09-1978 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"939","Alexander, Seth","21-09-1977 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"955","Garcia, Joseph","17-08-1975 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"956","Green, Gabriel","05-04-1975 00:00:00","S","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"2031","Lopez, Sophia","13-07-1977 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"2987","Anderson, Chloe","25-10-1979 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"2994","Patterson, Zachary","24-08-1978 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"3005","Kelly, Caitlin","13-04-1977 00:00:00","M","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"4012","Mitchell, Amber","13-11-1977 00:00:00","S","F","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
"4429","Howard, Richard","01-05-1979 00:00:00","M","M","60000","0","0","Partial College","Skilled Manual","1","2","Person","","United States","California"
